Ref,Val,Package,PosX,PosY,Rot,Side
"R110","240R 1% 0.125W","R_0805_2012Metric",39.692500,-91.300000,0.000000,top
"R111","100k 1% 0.125W","R_0805_2012Metric",39.500000,-93.500000,0.000000,top
"R112","100R 1% 0.125W","R_0805_2012Metric",37.087500,-106.000000,180.000000,top
"R113","10k 1% 0.125W","R_0805_2012Metric",37.000000,-103.500000,180.000000,top
"R115","240R 1% 0.125W","R_0805_2012Metric",39.500000,-96.000000,0.000000,top
"R116","100k 1% 0.125W","R_0805_2012Metric",39.500000,-98.500000,0.000000,top
"R117","100R 1% 0.125W","R_0805_2012Metric",28.500000,-106.000000,180.000000,top
"R118","10k 1% 0.125W","R_0805_2012Metric",28.500000,-103.500000,180.000000,top
"R120","240R 1% 0.125W","R_0805_2012Metric",39.500000,-101.000000,0.000000,top
"R121","100k 1% 0.125W","R_0805_2012Metric",40.000000,-104.000000,90.000000,top
"R122","100R 1% 0.125W","R_0805_2012Metric",20.087500,-106.000000,180.000000,top
"R123","10k 1% 0.125W","R_0805_2012Metric",20.000000,-103.500000,180.000000,top
"R200","100k 1%","R_0805_2012Metric",27.000000,-66.734000,0.000000,top
"R201","100k 1%","R_0805_2012Metric",27.000000,-78.734000,0.000000,top
"R202","100k 1%","R_0805_2012Metric",27.000000,-42.000000,0.000000,top
"R203","100k 1%","R_0805_2012Metric",27.000000,-54.000000,0.000000,top
"R204","100k 1%","R_0805_2012Metric",27.000000,-18.184000,0.000000,top
"R205","100k 1%","R_0805_2012Metric",27.000000,-30.184000,0.000000,top
"R210","10k 1%","R_0805_2012Metric",33.000000,-66.734000,0.000000,top
"R211","10k 1%","R_0805_2012Metric",33.000000,-78.734000,0.000000,top
"R212","10k 1%","R_0805_2012Metric",33.000000,-42.000000,0.000000,top
"R213","10k 1%","R_0805_2012Metric",33.000000,-54.000000,0.000000,top
"R214","10k 1%","R_0805_2012Metric",33.000000,-18.184000,0.000000,top
"R215","10k 1%","R_0805_2012Metric",33.000000,-30.184000,0.000000,top
"R220","499R 0.1%","R_0805_2012Metric",42.000000,-66.734000,0.000000,top
"R221","499R 0.1%","R_0805_2012Metric",42.000000,-78.734000,0.000000,top
"R222","499R 0.1%","R_0805_2012Metric",42.000000,-42.000000,0.000000,top
"R223","499R 0.1%","R_0805_2012Metric",42.000000,-54.000000,0.000000,top
"R224","499R 0.1%","R_0805_2012Metric",42.000000,-18.184000,0.000000,top
"R225","499R 0.1%","R_0805_2012Metric",42.000000,-30.184000,0.000000,top
"R230","220R 1%","R_0805_2012Metric",45.000000,-69.000000,90.000000,top
"R231","220R 1%","R_0805_2012Metric",45.000000,-76.500000,90.000000,top
"R232","220R 1%","R_0805_2012Metric",45.000000,-44.000000,90.000000,top
"R233","220R 1%","R_0805_2012Metric",45.000000,-52.000000,90.000000,top
"R234","220R 1%","R_0805_2012Metric",45.000000,-20.500000,90.000000,top
"R235","220R 1%","R_0805_2012Metric",45.000000,-28.000000,90.000000,top
"R240","33k 0.1%","R_0805_2012Metric",37.000000,-72.500000,90.000000,top
"R241","33k 0.1%","R_0805_2012Metric",38.000000,-67.500000,0.000000,top
"R242","33k 0.1%","R_0805_2012Metric",37.000000,-48.000000,90.000000,top
"R243","33k 0.1%","R_0805_2012Metric",37.000000,-44.000000,90.000000,top
"R244","33k 0.1%","R_0805_2012Metric",37.000000,-24.000000,90.000000,top
"R245","33k 0.1%","R_0805_2012Metric",37.000000,-28.000000,90.000000,top
"R250","499R 0.1%","R_0805_2012Metric",34.000000,-69.500000,0.000000,top
"R251","499R 0.1%","R_0805_2012Metric",34.000000,-76.000000,0.000000,top
"R252","499R 0.1%","R_0805_2012Metric",34.500000,-51.000000,0.000000,top
"R253","499R 0.1%","R_0805_2012Metric",36.000000,-54.000000,90.000000,top
"R254","499R 0.1%","R_0805_2012Metric",34.500000,-21.000000,0.000000,top
"R255","499R 0.1%","R_0805_2012Metric",30.000000,-30.000000,90.000000,top
"R260","33k 0.1%","R_0805_2012Metric",30.000000,-67.000000,90.000000,top
"R261","33k 0.1%","R_0805_2012Metric",30.000000,-78.500000,90.000000,top
"R262","33k 0.1%","R_0805_2012Metric",30.000000,-54.000000,90.000000,top
"R263","33k 0.1%","R_0805_2012Metric",33.000000,-56.500000,0.000000,top
"R264","33k 0.1%","R_0805_2012Metric",30.000000,-18.500000,90.000000,top
"R265","33k 0.1%","R_0805_2012Metric",30.000000,-33.000000,0.000000,top
"RV100","1k 25-turn 0.5W","Potentiometer_Bourns_3296W_Vertical",88.560000,-64.500000,180.000000,top
"U10","LT3041ADE#TRPBF","DFN-14-1EP_3x4mm_P0.5mm_EP1.7x3.3mm",34.000000,7.000000,0.000000,top
"U11","AP2112K-3.3TRG1","SOT-23-5",54.000000,5.000000,0.000000,top
"U12","TPS3840PL42DBVR","SOT-23-5",60.000000,-66.000000,0.000000,top
"U13","TPS3840PL30DBVR","SOT-23-5",69.000000,-66.000000,0.000000,top
"U14","TPS3840PL34DBVR","SOT-23-5",61.000000,-45.000000,0.000000,top
"U15","SN74LVC1G14DBVR","SOT-23-5",70.000000,-45.000000,0.000000,top
"U16","LTV-817S-TA1-B","SMDIP-4_W7.62mm",79.000000,-5.000000,0.000000,top
"U17","LM4050AIM3-4.1/NOPB","SOT-23",55.000000,-37.000000,0.000000,top
"U18","TLV3601DCKR","SOT-353_SC-70-5",63.000000,-37.000000,0.000000,top
"U19","SN74LVC1G132DBVR","SOT-23-5",61.000000,-49.000000,0.000000,top
"U30","ADG4613BRUZ","TSSOP-16_4.4x5mm_P0.65mm",41.000000,-72.734000,90.000000,top
"U31","ADG4613BRUZ","TSSOP-16_4.4x5mm_P0.65mm",41.000000,-48.000000,90.000000,top
"U32","ADG4613BRUZ","TSSOP-16_4.4x5mm_P0.65mm",41.000000,-24.184000,90.000000,top
"U33","OPA2325IDR","SOIC-8_3.9x4.9mm_P1.27mm",29.190000,-72.734000,90.000000,top
"U34","OPA2325IDR","SOIC-8_3.9x4.9mm_P1.27mm",29.500000,-48.000000,90.000000,top
"U35","OPA2325IDR","SOIC-8_3.9x4.9mm_P1.27mm",29.785000,-24.184000,90.000000,top
"U50","SN74LVC2G125DCTR","TI_DCT0008A_SSOP8",61.000000,-94.000000,0.000000,top
"U51","SN74LVC2G125DCTR","TI_DCT0008A_SSOP8",71.000000,-94.000000,0.000000,top
"U52","SN74LVC2G125DCTR","TI_DCT0008A_SSOP8",82.000000,-102.000000,0.000000,top
"U100","LT1963AEQ#PBF","TO-263-5_TabPin3",88.750000,-45.000000,90.000000,top
"U101","LTV-847S","SMDIP-16_W9.53mm",25.795000,-94.800000,-90.000000,top
